Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err
1970,Scotian Shelf,ALL,0,0,0,0
1970,Scotian Shelf,Alosa pseudoharengus,43.5692355,0,-66.89843207,0
1970,Scotian Shelf,Amblyraja radiata,44.50968535,0.112840638,-60.53302197,0.447285765
1970,Scotian Shelf,Ammodytes dubius,44.13791959,0.004389567,-60.51695403,0.044082015
1970,Scotian Shelf,Anarhichas lupus,44.2132374,0.155694837,-62.5526074,0.419856581
1970,Scotian Shelf,Argentina silus,42.75297239,0.055060845,-65.72757047,0.268711651
1970,Scotian Shelf,Brosme brosme,43.37196453,0.096734443,-64.82657473,0.266722689
1970,Scotian Shelf,Clupea harengus,45.58302899,0.172677424,-60.60320414,0.244708213
1970,Scotian Shelf,Cyclopterus lumpus,45.32423657,0.077082706,-59.4062444,0.252616412
1970,Scotian Shelf,Dipturus laevis,44.56566687,0.05560162,-58.25626926,0.202068517
1970,Scotian Shelf,Gadus morhua,44.14982445,0.180948355,-62.84153504,0.402911656
1970,Scotian Shelf,Glyptocephalus cynoglossus,44.54675385,0.15849241,-61.50386735,0.462384255
1970,Scotian Shelf,Hemitripterus americanus,43.99030753,0.113887245,-64.53436116,0.36942268
1970,Scotian Shelf,Hippoglossoides platessoides,44.57612605,0.126439631,-60.43074655,0.38294715
1970,Scotian Shelf,Hippoglossus hippoglossus,43.40137045,0.101416289,-64.51165324,0.223314327
1970,Scotian Shelf,Homarus americanus,NaN,NaN,NaN,NaN
1970,Scotian Shelf,Illex illecebrosus,43.63784081,0.130427435,-62.7854014,0.392347832
1970,Scotian Shelf,Leucoraja erinacea,42.63186921,0.033340793,-65.90938123,0.168320583
1970,Scotian Shelf,Leucoraja ocellata,44.01422926,0.102680651,-60.52328983,0.409517157
1970,Scotian Shelf,Limanda ferruginea,44.21259891,0.074253134,-59.72125103,0.207333195
1970,Scotian Shelf,Lophius americanus,43.57126824,0.086086436,-64.33483605,0.322981226
1970,Scotian Shelf,Malacoraja senta,44.65159687,0.150284263,-61.76750573,0.557337992
1970,Scotian Shelf,Melanogrammus aeglefinus,43.46938785,0.106020535,-64.25667203,0.330007594
1970,Scotian Shelf,Merluccius bilinearis,43.91721046,0.085142026,-62.51895835,0.239483529
1970,Scotian Shelf,Myoxocephalus octodecemspinosus,44.01001916,0.065793708,-61.57484514,0.341052822
1970,Scotian Shelf,Nezumia bairdii,45.03406343,0.172170468,-59.12999301,0.309834393
1970,Scotian Shelf,Phycis chesteri,45.00919036,0.107936333,-58.77177572,0.10115654
1970,Scotian Shelf,Pollachius virens,43.83287431,0.081119045,-65.49780305,0.269745182
1970,Scotian Shelf,Pseudopleuronectes americanus,44.02939726,0.041684412,-63.79629703,0.419115977
1970,Scotian Shelf,Reinhardtius hippoglossoides,45.71272748,0.081017657,-58.76342576,0.07385282
1970,Scotian Shelf,Scomber scombrus,44.0759097,0.023117825,-62.12913786,0.121523458
1970,Scotian Shelf,Sebastes,44.65622896,0.13525881,-60.59302146,0.294472651
1970,Scotian Shelf,Squalus acanthias,43.80072018,0.096301486,-66.31185535,0.126700404
1970,Scotian Shelf,Urophycis chuss,43.60056895,0.011202852,-60.28332201,0.024948496
1970,Scotian Shelf,Urophycis tenuis,43.57373402,0.09457329,-65.78124867,0.344558859
1970,Scotian Shelf,Zoarces americanus,43.92200783,0.079941032,-62.67088129,0.388672015
1971,Scotian Shelf,ALL,0.355159987,0.133373527,0.799383328,0.277959688
1971,Scotian Shelf,Alosa pseudoharengus,45.00974736,0.032200681,-65.56699308,0.050125909
1971,Scotian Shelf,Alosa sapidissima,45.04653,0,-65.40730655,0
1971,Scotian Shelf,Amblyraja radiata,44.68953341,0.132231051,-60.20821298,0.347188269
1971,Scotian Shelf,Ammodytes dubius,NaN,NaN,NaN,NaN
1971,Scotian Shelf,Anarhichas lupus,44.27247946,0.1554522,-61.77569812,0.412781624
1971,Scotian Shelf,Argentina silus,42.89759451,0.068244688,-64.22275743,0.356110563
1971,Scotian Shelf,Brosme brosme,43.3964186,0.087916462,-65.68982324,0.332687756
1971,Scotian Shelf,Clupea harengus,45.11113167,0.170017905,-61.60345892,0.291501121
1971,Scotian Shelf,Cyclopterus lumpus,45.12419618,0.037650039,-59.36399322,0.295719462
1971,Scotian Shelf,Dipturus laevis,45.23494223,0,-65.46507875,0
1971,Scotian Shelf,Gadus morhua,45.06705328,0.168518254,-60.76274404,0.362662415
1971,Scotian Shelf,Glyptocephalus cynoglossus,45.3859313,0.124195358,-59.89379475,0.322994572
1971,Scotian Shelf,Hemitripterus americanus,44.30068461,0.06965094,-63.90208446,0.42891209
1971,Scotian Shelf,Hippoglossoides platessoides,45.07212755,0.099028592,-59.52678363,0.251950354
1971,Scotian Shelf,Hippoglossus hippoglossus,43.58299048,0.135154146,-62.11981974,0.407716542
1971,Scotian Shelf,Homarus americanus,43.75911441,0.056695104,-62.38143784,0.43160505
1971,Scotian Shelf,Illex illecebrosus,43.61627517,0.109211758,-63.03348624,0.347753123
1971,Scotian Shelf,Leucoraja erinacea,45.1271241,0.028502762,-65.52045563,0.036681328
1971,Scotian Shelf,Leucoraja ocellata,44.03161539,0.052743121,-60.16776404,0.093781592
