date,state,fips,cases,deaths
2020-04-15,Alabama,01,4241,123
2020-04-15,Alaska,02,291,7
2020-04-15,Arizona,04,3962,142
2020-04-15,Arkansas,05,1599,34
2020-04-15,California,06,27107,885
2020-04-15,Colorado,08,8280,355
2020-04-15,Connecticut,09,14755,868
2020-04-15,Delaware,10,2014,46
2020-04-15,District of Columbia,11,2197,72
2020-04-15,Florida,12,22526,613
2020-04-15,Georgia,13,14583,569
2020-04-15,Guam,66,750,6
2020-04-15,Hawaii,15,524,9
2020-04-15,Idaho,16,1587,41
2020-04-15,Illinois,17,24593,958
2020-04-15,Indiana,18,9030,511
2020-04-15,Iowa,19,1995,53
2020-04-15,Kansas,20,1503,76
2020-04-15,Kentucky,21,2295,124
2020-04-15,Louisiana,22,21951,1103
2020-04-15,Maine,23,770,24
2020-04-15,Maryland,24,10096,413
2020-04-15,Massachusetts,25,29918,1108
2020-04-15,Michigan,26,27894,1920
2020-04-15,Minnesota,27,1809,87
2020-04-15,Mississippi,28,3360,122
2020-04-15,Missouri,29,4895,164
2020-04-15,Montana,30,404,7
2020-04-15,Nebraska,31,994,22
2020-04-15,Nevada,32,3212,137
2020-04-15,New Hampshire,33,1139,32
2020-04-15,New Jersey,34,71030,3156
2020-04-15,New Mexico,35,1484,36
2020-04-15,New York,36,217130,14937
2020-04-15,North Carolina,37,5123,128
2020-04-15,North Dakota,38,365,9
2020-04-15,Northern Mariana Islands,69,13,2
2020-04-15,Ohio,39,7791,361
2020-04-15,Oklahoma,40,2263,123
2020-04-15,Oregon,41,1663,58
2020-04-15,Pennsylvania,42,26804,833
2020-04-15,Puerto Rico,72,974,51
2020-04-15,Rhode Island,44,3529,87
2020-04-15,South Carolina,45,3656,107
2020-04-15,South Dakota,46,1168,6
2020-04-15,Tennessee,47,5864,135
2020-04-15,Texas,48,16106,395
2020-04-15,Utah,49,2549,20
2020-04-15,Vermont,50,759,29
2020-04-15,Virgin Islands,78,51,1
2020-04-15,Virginia,51,6502,195
2020-04-15,Washington,53,10806,572
2020-04-15,West Virginia,54,725,12
2020-04-15,Wisconsin,55,3721,184
2020-04-15,Wyoming,56,392,2
