date,state,fips,cases,deaths
2020-09-05,Alabama,01,131803,2275
2020-09-05,Alaska,02,6514,39
2020-09-05,Arizona,04,205518,5207
2020-09-05,Arkansas,05,65226,882
2020-09-05,California,06,737073,13708
2020-09-05,Colorado,08,59362,1978
2020-09-05,Connecticut,09,53365,4468
2020-09-05,Delaware,10,17892,608
2020-09-05,District of Columbia,11,14238,611
2020-09-05,Florida,12,643859,11810
2020-09-05,Georgia,13,265215,5842
2020-09-05,Guam,66,2640,16
2020-09-05,Hawaii,15,9667,83
2020-09-05,Idaho,16,33884,386
2020-09-05,Illinois,17,250882,8405
2020-09-05,Indiana,18,101094,3362
2020-09-05,Iowa,19,69690,1165
2020-09-05,Kansas,20,46051,482
2020-09-05,Kentucky,21,56016,1033
2020-09-05,Louisiana,22,152369,5035
2020-09-05,Maine,23,4667,134
2020-09-05,Maryland,24,112104,3796
2020-09-05,Massachusetts,25,122196,9116
2020-09-05,Michigan,26,117267,6809
2020-09-05,Minnesota,27,79932,1903
2020-09-05,Mississippi,28,86478,2569
2020-09-05,Missouri,29,93713,1728
2020-09-05,Montana,30,8178,116
2020-09-05,Nebraska,31,35805,415
2020-09-05,Nevada,32,71184,1390
2020-09-05,New Hampshire,33,7424,432
2020-09-05,New Jersey,34,195530,15985
2020-09-05,New Mexico,35,26048,800
2020-09-05,New York,36,443497,32579
2020-09-05,North Carolina,37,176124,2913
2020-09-05,North Dakota,38,13338,159
2020-09-05,Northern Mariana Islands,69,58,2
2020-09-05,Ohio,39,129785,4256
2020-09-05,Oklahoma,40,63187,850
2020-09-05,Oregon,41,27857,482
2020-09-05,Pennsylvania,42,143301,7837
2020-09-05,Puerto Rico,72,34492,464
2020-09-05,Rhode Island,44,22243,1055
2020-09-05,South Carolina,45,124289,2877
2020-09-05,South Dakota,46,14889,173
2020-09-05,Tennessee,47,159893,1838
2020-09-05,Texas,48,663246,13660
2020-09-05,Utah,49,54364,421
2020-09-05,Vermont,50,1647,58
2020-09-05,Virgin Islands,78,1167,16
2020-09-05,Virginia,51,125727,2677
2020-09-05,Washington,53,79900,2042
2020-09-05,West Virginia,54,11289,243
2020-09-05,Wisconsin,55,85517,1177
2020-09-05,Wyoming,56,4006,42
