date,state,fips,cases,deaths
2020-11-05,Alabama,01,199158,3026
2020-11-05,Alaska,02,18064,79
2020-11-05,Arizona,04,252843,6087
2020-11-05,Arkansas,05,117360,2037
2020-11-05,California,06,960884,17866
2020-11-05,Colorado,08,122170,2383
2020-11-05,Connecticut,09,77060,4656
2020-11-05,Delaware,10,25753,716
2020-11-05,District of Columbia,11,17682,650
2020-11-05,Florida,12,827372,16960
2020-11-05,Georgia,13,384531,8359
2020-11-05,Guam,66,5973,84
2020-11-05,Hawaii,15,15683,218
2020-11-05,Idaho,16,70005,673
2020-11-05,Illinois,17,455528,10334
2020-11-05,Indiana,18,198684,4511
2020-11-05,Iowa,19,142795,1814
2020-11-05,Kansas,20,94427,1087
2020-11-05,Kentucky,21,117654,1611
2020-11-05,Louisiana,22,190845,5995
2020-11-05,Maine,23,7260,150
2020-11-05,Maryland,24,150424,4182
2020-11-05,Massachusetts,25,165161,10085
2020-11-05,Michigan,26,218136,7833
2020-11-05,Minnesota,27,164919,2609
2020-11-05,Mississippi,28,123887,3405
2020-11-05,Missouri,29,205036,3197
2020-11-05,Montana,30,37024,409
2020-11-05,Nebraska,31,78012,678
2020-11-05,Nevada,32,105706,1825
2020-11-05,New Hampshire,33,11808,486
2020-11-05,New Jersey,34,249019,16403
2020-11-05,New Mexico,35,51110,1082
2020-11-05,New York,36,523559,33247
2020-11-05,North Carolina,37,286210,4572
2020-11-05,North Dakota,38,49842,601
2020-11-05,Northern Mariana Islands,69,96,2
2020-11-05,Ohio,39,235170,5461
2020-11-05,Oklahoma,40,129873,1413
2020-11-05,Oregon,41,47839,710
2020-11-05,Pennsylvania,42,225698,9009
2020-11-05,Puerto Rico,72,69416,855
2020-11-05,Rhode Island,44,35750,1222
2020-11-05,South Carolina,45,181639,3992
2020-11-05,South Dakota,46,51151,482
2020-11-05,Tennessee,47,267557,3474
2020-11-05,Texas,48,993873,19000
2020-11-05,Utah,49,124366,632
2020-11-05,Vermont,50,2303,58
2020-11-05,Virgin Islands,78,1388,23
2020-11-05,Virginia,51,187202,3688
2020-11-05,Washington,53,118459,2542
2020-11-05,West Virginia,54,26547,480
2020-11-05,Wisconsin,55,263640,2273
2020-11-05,Wyoming,56,15409,105
