date,state,fips,cases,deaths
2020-10-15,Alabama,01,169162,2756
2020-10-15,Alaska,02,11268,61
2020-10-15,Arizona,04,228748,5789
2020-10-15,Arkansas,05,96524,1645
2020-10-15,California,06,870380,16839
2020-10-15,Colorado,08,82443,2187
2020-10-15,Connecticut,09,62028,4540
2020-10-15,Delaware,10,22560,661
2020-10-15,District of Columbia,11,16166,638
2020-10-15,Florida,12,744980,15735
2020-10-15,Georgia,13,344093,7320
2020-10-15,Guam,66,4396,62
2020-10-15,Hawaii,15,13922,183
2020-10-15,Idaho,16,51471,521
2020-10-15,Illinois,17,336211,9392
2020-10-15,Indiana,18,143617,3864
2020-10-15,Iowa,19,104232,1516
2020-10-15,Kansas,20,70815,838
2020-10-15,Kentucky,21,86410,1341
2020-10-15,Louisiana,22,176952,5707
2020-10-15,Maine,23,5836,144
2020-10-15,Maryland,24,134042,4028
2020-10-15,Massachusetts,25,141579,9672
2020-10-15,Michigan,26,156926,7304
2020-10-15,Minnesota,27,117159,2252
2020-10-15,Mississippi,28,108139,3152
2020-10-15,Missouri,29,156142,2531
2020-10-15,Montana,30,21043,230
2020-10-15,Nebraska,31,55428,546
2020-10-15,Nevada,32,88081,1700
2020-10-15,New Hampshire,33,9426,463
2020-10-15,New Jersey,34,218783,16197
2020-10-15,New Mexico,35,34958,922
2020-10-15,New York,36,484135,32935
2020-10-15,North Carolina,37,239338,3899
2020-10-15,North Dakota,38,29658,375
2020-10-15,Northern Mariana Islands,69,80,2
2020-10-15,Ohio,39,175843,5038
2020-10-15,Oklahoma,40,103836,1143
2020-10-15,Oregon,41,38536,613
2020-10-15,Pennsylvania,42,182502,8496
2020-10-15,Puerto Rico,72,56085,743
2020-10-15,Rhode Island,44,27438,1149
2020-10-15,South Carolina,45,161106,3607
2020-10-15,South Dakota,46,31012,304
2020-10-15,Tennessee,47,219355,2836
2020-10-15,Texas,48,853949,17362
2020-10-15,Utah,49,90488,531
2020-10-15,Vermont,50,1903,58
2020-10-15,Virgin Islands,78,1329,21
2020-10-15,Virginia,51,162941,3388
2020-10-15,Washington,53,100838,2331
2020-10-15,West Virginia,54,19082,393
2020-10-15,Wisconsin,55,171480,1568
2020-10-15,Wyoming,56,8375,57
