date,state,fips,cases,deaths
2020-07-25,Alabama,01,78130,1456
2020-07-25,Alaska,02,2866,18
2020-07-25,Arizona,04,160055,3288
2020-07-25,Arkansas,05,37981,399
2020-07-25,California,06,453327,8428
2020-07-25,Colorado,08,43847,1795
2020-07-25,Connecticut,09,48776,4413
2020-07-25,Delaware,10,14175,579
2020-07-25,District of Columbia,11,11717,581
2020-07-25,Florida,12,414503,5776
2020-07-25,Georgia,13,151262,3421
2020-07-25,Guam,66,1306,6
2020-07-25,Hawaii,15,1597,25
2020-07-25,Idaho,16,17920,150
2020-07-25,Illinois,17,171669,7593
2020-07-25,Indiana,18,63030,2895
2020-07-25,Iowa,19,41886,826
2020-07-25,Kansas,20,25464,333
2020-07-25,Kentucky,21,27395,717
2020-07-25,Louisiana,22,103846,3715
2020-07-25,Maine,23,3790,119
2020-07-25,Maryland,24,83617,3433
2020-07-25,Massachusetts,25,115268,8510
2020-07-25,Michigan,26,85665,6402
2020-07-25,Minnesota,27,50331,1611
2020-07-25,Mississippi,28,51097,1480
2020-07-25,Missouri,29,42310,1224
2020-07-25,Montana,30,3260,46
2020-07-25,Nebraska,31,24412,322
2020-07-25,Nevada,32,41993,733
2020-07-25,New Hampshire,33,6415,409
2020-07-25,New Jersey,34,180778,15776
2020-07-25,New Mexico,35,18788,607
2020-07-25,New York,36,415911,32295
2020-07-25,North Carolina,37,111282,1801
2020-07-25,North Dakota,38,5740,103
2020-07-25,Northern Mariana Islands,69,40,2
2020-07-25,Ohio,39,83184,3297
2020-07-25,Oklahoma,40,30081,496
2020-07-25,Oregon,41,16492,286
2020-07-25,Pennsylvania,42,111121,7167
2020-07-25,Puerto Rico,72,14540,201
2020-07-25,Rhode Island,44,18224,1002
2020-07-25,South Carolina,45,80008,1465
2020-07-25,South Dakota,46,8305,122
2020-07-25,Tennessee,47,88459,953
2020-07-25,Texas,48,391609,5002
2020-07-25,Utah,49,37623,278
2020-07-25,Vermont,50,1396,56
2020-07-25,Virgin Islands,78,352,7
2020-07-25,Virginia,51,83609,2075
2020-07-25,Washington,53,53883,1591
2020-07-25,West Virginia,54,5821,103
2020-07-25,Wisconsin,55,51735,900
2020-07-25,Wyoming,56,2446,25
