date,state,fips,cases,deaths
2020-07-05,Alabama,01,43953,1007
2020-07-05,Alaska,02,1371,14
2020-07-05,Arizona,04,98126,1829
2020-07-05,Arkansas,05,23814,287
2020-07-05,California,06,271587,6369
2020-07-05,Colorado,08,34100,1703
2020-07-05,Connecticut,09,46717,4335
2020-07-05,Delaware,10,12128,512
2020-07-05,District of Columbia,11,10482,559
2020-07-05,Florida,12,200103,3730
2020-07-05,Georgia,13,89489,2812
2020-07-05,Guam,66,1257,6
2020-07-05,Hawaii,15,1005,19
2020-07-05,Idaho,16,7799,94
2020-07-05,Illinois,17,148730,7241
2020-07-05,Indiana,18,49203,2693
2020-07-05,Iowa,19,31612,721
2020-07-05,Kansas,20,16289,287
2020-07-05,Kentucky,21,16712,608
2020-07-05,Louisiana,22,65334,3288
2020-07-05,Maine,23,3415,109
2020-07-05,Maryland,24,69957,3243
2020-07-05,Massachusetts,25,109974,8183
2020-07-05,Michigan,26,73027,6222
2020-07-05,Minnesota,27,38173,1508
2020-07-05,Mississippi,28,30900,1111
2020-07-05,Missouri,29,24334,1062
2020-07-05,Montana,30,1212,23
2020-07-05,Nebraska,31,19937,285
2020-07-05,Nevada,32,22518,537
2020-07-05,New Hampshire,33,5897,381
2020-07-05,New Jersey,34,175258,15211
2020-07-05,New Mexico,35,13256,513
2020-07-05,New York,36,401822,31895
2020-07-05,North Carolina,37,73096,1414
2020-07-05,North Dakota,38,3825,89
2020-07-05,Northern Mariana Islands,69,31,2
2020-07-05,Ohio,39,57151,2911
2020-07-05,Oklahoma,40,15928,398
2020-07-05,Oregon,41,10237,218
2020-07-05,Pennsylvania,42,94403,6797
2020-07-05,Puerto Rico,72,7916,155
2020-07-05,Rhode Island,44,16991,960
2020-07-05,South Carolina,45,44847,820
2020-07-05,South Dakota,46,7063,97
2020-07-05,Tennessee,47,50365,639
2020-07-05,Texas,48,200137,2666
2020-07-05,Utah,49,25005,184
2020-07-05,Vermont,50,1249,56
2020-07-05,Virgin Islands,78,112,6
2020-07-05,Virginia,51,65748,1853
2020-07-05,Washington,53,37468,1360
2020-07-05,West Virginia,54,3335,95
2020-07-05,Wisconsin,55,34750,804
2020-07-05,Wyoming,56,1634,20
