date,state,fips,cases,deaths
2020-08-15,Alabama,01,107580,1896
2020-08-15,Alaska,02,4952,26
2020-08-15,Arizona,04,192670,4497
2020-08-15,Arkansas,05,51992,600
2020-08-15,California,06,621981,11229
2020-08-15,Colorado,08,52868,1897
2020-08-15,Connecticut,09,50897,4453
2020-08-15,Delaware,10,16396,593
2020-08-15,District of Columbia,11,13159,597
2020-08-15,Florida,12,569629,9344
2020-08-15,Georgia,13,218344,4568
2020-08-15,Guam,66,1471,6
2020-08-15,Hawaii,15,4802,39
2020-08-15,Idaho,16,27620,269
2020-08-15,Illinois,17,206505,7959
2020-08-15,Indiana,18,81561,3128
2020-08-15,Iowa,19,52065,975
2020-08-15,Kansas,20,34294,406
2020-08-15,Kentucky,21,40677,829
2020-08-15,Louisiana,22,136860,4430
2020-08-15,Maine,23,4144,127
2020-08-15,Maryland,24,100237,3636
2020-08-15,Massachusetts,25,123199,8826
2020-08-15,Michigan,26,101831,6586
2020-08-15,Minnesota,27,64459,1745
2020-08-15,Mississippi,28,71755,2080
2020-08-15,Missouri,29,67442,1431
2020-08-15,Montana,30,5663,82
2020-08-15,Nebraska,31,30241,363
2020-08-15,Nevada,32,60648,1070
2020-08-15,New Hampshire,33,6980,423
2020-08-15,New Jersey,34,189281,15910
2020-08-15,New Mexico,35,23302,711
2020-08-15,New York,36,429617,32414
2020-08-15,North Carolina,37,143956,2370
2020-08-15,North Dakota,38,8448,125
2020-08-15,Northern Mariana Islands,69,50,2
2020-08-15,Ohio,39,107674,3824
2020-08-15,Oklahoma,40,47798,657
2020-08-15,Oregon,41,23018,389
2020-08-15,Pennsylvania,42,128531,7525
2020-08-15,Puerto Rico,72,25695,329
2020-08-15,Rhode Island,44,20335,1021
2020-08-15,South Carolina,45,105882,2260
2020-08-15,South Dakota,46,10118,152
2020-08-15,Tennessee,47,128771,1331
2020-08-15,Texas,48,555343,10379
2020-08-15,Utah,49,46413,364
2020-08-15,Vermont,50,1509,58
2020-08-15,Virgin Islands,78,734,9
2020-08-15,Virginia,51,105750,2381
2020-08-15,Washington,53,69136,1842
2020-08-15,West Virginia,54,8457,160
2020-08-15,Wisconsin,55,69560,1047
2020-08-15,Wyoming,56,3227,30
