date,state,fips,cases,deaths
2020-11-18,Alabama,01,223486,3347
2020-11-18,Alaska,02,25454,94
2020-11-18,Arizona,04,284554,6365
2020-11-18,Arkansas,05,137617,2275
2020-11-18,California,06,1069517,18467
2020-11-18,Colorado,08,178224,2669
2020-11-18,Connecticut,09,97028,4784
2020-11-18,Delaware,10,29755,742
2020-11-18,District of Columbia,11,19465,665
2020-11-18,Florida,12,905240,17730
2020-11-18,Georgia,13,417934,8833
2020-11-18,Guam,66,7315,101
2020-11-18,Hawaii,15,16817,222
2020-11-18,Idaho,16,87020,815
2020-11-18,Illinois,17,608056,11488
2020-11-18,Indiana,18,270847,5084
2020-11-18,Iowa,19,197532,2102
2020-11-18,Kansas,20,131051,1326
2020-11-18,Kentucky,21,148069,1816
2020-11-18,Louisiana,22,209914,6184
2020-11-18,Maine,23,9519,170
2020-11-18,Maryland,24,172204,4351
2020-11-18,Massachusetts,25,195868,10407
2020-11-18,Michigan,26,302541,8576
2020-11-18,Minnesota,27,242099,3066
2020-11-18,Mississippi,28,137396,3601
2020-11-18,Missouri,29,266187,3591
2020-11-18,Montana,30,50650,568
2020-11-18,Nebraska,31,106617,838
2020-11-18,Nevada,32,126106,1947
2020-11-18,New Hampshire,33,15749,504
2020-11-18,New Jersey,34,291374,16655
2020-11-18,New Mexico,35,70452,1290
2020-11-18,New York,36,578826,33607
2020-11-18,North Carolina,37,322258,4927
2020-11-18,North Dakota,38,67236,791
2020-11-18,Northern Mariana Islands,69,103,2
2020-11-18,Ohio,39,318828,5827
2020-11-18,Oklahoma,40,161425,1570
2020-11-18,Oregon,41,59670,791
2020-11-18,Pennsylvania,42,287464,9541
2020-11-18,Puerto Rico,72,77525,971
2020-11-18,Rhode Island,44,45911,1284
2020-11-18,South Carolina,45,199447,4182
2020-11-18,South Dakota,46,68671,674
2020-11-18,Tennessee,47,319021,4005
2020-11-18,Texas,48,1125758,20471
2020-11-18,Utah,49,162091,742
2020-11-18,Vermont,50,3161,60
2020-11-18,Virgin Islands,78,1463,23
2020-11-18,Virginia,51,208833,3860
2020-11-18,Washington,53,142511,2704
2020-11-18,West Virginia,54,36277,612
2020-11-18,Wisconsin,55,350665,2939
2020-11-18,Wyoming,56,25275,155
