date,state,fips,cases,deaths
2020-09-25,Alabama,01,150658,2491
2020-09-25,Alaska,02,8133,48
2020-09-25,Arizona,04,216367,5588
2020-09-25,Arkansas,05,79946,1266
2020-09-25,California,06,805733,15533
2020-09-25,Colorado,08,68506,2045
2020-09-25,Connecticut,09,56587,4501
2020-09-25,Delaware,10,20085,631
2020-09-25,District of Columbia,11,15163,623
2020-09-25,Florida,12,695879,13914
2020-09-25,Georgia,13,296089,6717
2020-09-25,Guam,66,3255,40
2020-09-25,Hawaii,15,12039,126
2020-09-25,Idaho,16,40228,458
2020-09-25,Illinois,17,287375,8826
2020-09-25,Indiana,18,117656,3566
2020-09-25,Iowa,19,85031,1312
2020-09-25,Kansas,20,57852,634
2020-09-25,Kentucky,21,69150,1179
2020-09-25,Louisiana,22,165152,5444
2020-09-25,Maine,23,5235,140
2020-09-25,Maryland,24,122850,3917
2020-09-25,Massachusetts,25,129481,9373
2020-09-25,Michigan,26,133443,7028
2020-09-25,Minnesota,27,94241,2046
2020-09-25,Mississippi,28,96032,2894
2020-09-25,Missouri,29,123544,2075
2020-09-25,Montana,30,11656,170
2020-09-25,Nebraska,31,43162,483
2020-09-25,Nevada,32,77930,1573
2020-09-25,New Hampshire,33,8085,438
2020-09-25,New Jersey,34,203891,16097
2020-09-25,New Mexico,35,28487,865
2020-09-25,New York,36,458466,32708
2020-09-25,North Carolina,37,204658,3427
2020-09-25,North Dakota,38,19888,222
2020-09-25,Northern Mariana Islands,69,69,2
2020-09-25,Ohio,39,148894,4734
2020-09-25,Oklahoma,40,82520,993
2020-09-25,Oregon,41,32328,545
2020-09-25,Pennsylvania,42,159051,8157
2020-09-25,Puerto Rico,72,44905,635
2020-09-25,Rhode Island,44,24181,1107
2020-09-25,South Carolina,45,143902,3297
2020-09-25,South Dakota,46,20554,216
2020-09-25,Tennessee,47,186769,2326
2020-09-25,Texas,48,761644,15637
2020-09-25,Utah,49,68537,448
2020-09-25,Vermont,50,1731,58
2020-09-25,Virgin Islands,78,1296,19
2020-09-25,Virginia,51,144433,3136
2020-09-25,Washington,53,89149,2193
2020-09-25,West Virginia,54,14953,330
2020-09-25,Wisconsin,55,117355,1285
2020-09-25,Wyoming,56,5420,50
