ncols 50
nrows 50
xllcorner 100
yllcorner 200
cellsize 45
nodata_value -1
45	64	38	91	31	49	59	34	11	63	41	78	7	67	67	50	91	86	27	43	70	92	48	83	8	15	19	21	84	21	35	69	2	41	87	61	67	73	5	63	39	35	89	32	39	43	11	62	64	27
56	58	17	66	78	6	73	92	18	-1	64	72	4	15	59	77	51	51	6	97	9	98	68	2	6	73	59	62	5	90	15	70	16	50	91	83	100	38	39	14	66	6	6	48	20	48	97	43	46	16
71	41	42	36	79	96	9	64	97	2	-1	42	77	45	89	18	5	97	44	59	42	8	80	36	96	69	4	38	59	2	32	78	69	1	35	53	100	38	72	42	29	20	71	73	91	36	79	98	80	99
27	19	45	40	8	5	89	47	88	56	52	87	49	13	39	60	23	35	32	27	79	41	81	93	50	39	56	10	90	31	55	53	33	90	21	77	97	85	97	100	61	88	34	60	69	19	36	75	66	95
32	74	30	92	26	83	63	18	16	97	81	43	97	35	-1	85	96	29	31	85	10	57	40	65	93	92	52	65	44	72	96	44	14	86	37	61	39	48	50	98	9	65	44	88	57	97	42	43	11	22
33	36	41	87	72	17	90	65	14	78	88	47	8	22	24	33	51	15	15	89	54	5	15	8	66	48	37	89	24	20	5	38	21	45	100	9	33	37	85	54	87	55	87	58	84	17	49	31	14	21
9	63	31	3	14	39	15	3	48	17	2	14	34	27	16	66	90	13	78	67	55	11	57	73	73	92	35	53	47	90	3	49	48	15	7	18	22	27	66	33	34	27	64	60	27	71	30	94	75	91
14	37	19	77	85	-1	37	68	30	87	4	97	81	62	37	79	25	39	99	68	9	57	66	37	31	53	74	11	74	26	21	31	27	25	74	98	27	46	69	82	31	55	27	43	92	42	100	55	73	63
49	56	57	8	4	97	89	68	64	26	82	94	52	37	61	58	37	63	41	90	77	7	42	43	18	-1	50	71	37	96	36	28	26	56	87	40	19	0	65	95	100	14	61	0	65	4	54	18	76	54
71	30	43	25	96	49	82	21	13	64	26	57	82	77	50	6	17	100	67	34	89	27	91	17	41	56	39	59	10	91	90	93	100	25	16	5	57	77	88	82	79	3	74	4	45	51	17	9	90	57
93	38	31	70	43	60	6	22	91	21	36	55	13	60	36	71	12	86	20	78	31	35	69	42	75	8	70	6	93	12	52	38	87	68	59	52	59	73	74	97	28	71	9	69	99	44	37	30	86	3
28	17	27	27	83	62	8	10	29	39	70	95	86	30	100	20	48	54	74	58	65	21	25	38	34	3	63	100	45	22	32	83	68	2	0	40	54	79	7	80	50	69	76	39	82	30	19	5	17	89
31	58	3	99	51	3	100	42	13	2	50	54	4	50	69	50	72	63	24	27	55	86	99	61	19	39	22	35	42	52	39	39	53	46	0	92	67	30	75	17	33	58	5	83	2	13	7	5	28	4
10	48	79	33	95	55	48	23	5	0	49	30	87	95	61	93	7	57	4	1	86	6	29	1	42	31	8	42	36	100	98	81	35	25	47	93	40	88	94	90	14	51	38	81	74	38	61	91	41	9
73	24	5	28	92	63	73	77	62	51	79	62	81	30	18	94	41	49	28	1	17	23	86	95	66	45	59	50	98	60	26	82	28	35	58	62	55	75	45	0	97	9	79	84	79	20	10	12	35	26
14	85	69	5	43	73	53	59	29	98	15	46	75	58	97	71	28	70	100	94	9	42	90	51	5	71	56	52	88	3	100	87	21	91	82	58	91	89	43	27	26	71	24	39	74	55	24	90	39	30
60	7	15	52	83	-1	36	97	47	88	100	87	84	93	18	64	73	29	65	38	30	68	40	12	4	3	44	0	40	62	45	76	65	96	84	55	62	66	32	76	81	43	59	45	-1	3	37	77	12	13
86	99	82	54	0	36	19	5	49	2	22	30	49	6	44	58	71	63	65	48	16	31	41	98	99	48	89	67	8	93	65	12	77	23	5	47	8	-1	54	57	63	59	95	21	90	25	4	46	73	99
81	54	83	1	58	69	40	59	81	8	37	53	1	53	9	78	23	83	88	35	55	21	50	11	73	55	22	26	-1	100	29	78	79	97	75	84	77	34	64	50	71	99	87	8	33	63	42	26	43	12
6	34	35	14	37	52	58	21	81	25	98	20	39	91	35	100	26	83	60	47	70	56	1	73	14	66	19	72	31	8	83	-1	97	79	30	66	6	27	30	73	55	86	91	25	35	58	78	62	61	10
15	5	-1	77	74	6	57	47	22	42	35	8	38	55	84	14	83	29	30	50	95	7	15	35	36	68	57	50	15	56	94	75	28	45	86	65	18	22	42	85	30	34	67	89	45	43	61	92	52	84
66	14	95	8	100	53	87	23	9	47	31	16	92	1	97	42	32	41	91	7	26	12	35	47	100	76	25	16	39	80	48	6	99	43	45	16	95	62	86	14	53	77	23	87	77	76	30	60	10	24
47	49	88	31	54	45	85	97	6	54	94	84	48	16	27	6	4	21	14	98	13	34	41	23	49	40	100	83	4	89	68	51	90	82	90	24	-1	81	82	84	79	58	65	57	58	81	81	23	74	63
60	33	34	0	89	6	18	52	1	47	95	54	72	70	13	7	74	18	56	18	59	67	20	19	72	82	86	100	85	88	40	83	22	99	71	1	50	20	52	23	79	29	13	85	46	91	55	99	17	31
28	13	5	47	45	5	90	93	47	12	91	81	5	89	99	52	56	38	92	51	60	14	43	5	18	93	36	59	91	58	100	25	76	46	34	1	64	98	13	55	53	20	89	50	12	90	90	51	74	0
36	50	81	93	6	84	50	52	79	47	40	81	82	53	36	56	81	8	30	4	50	13	94	95	46	48	78	23	44	35	71	100	26	7	47	15	15	47	-1	78	73	13	18	78	51	80	90	63	57	64
55	16	1	54	81	94	5	90	16	-1	49	99	40	2	25	95	17	76	19	73	64	50	57	81	23	65	44	12	11	90	80	67	62	51	39	34	15	52	83	98	0	65	22	75	75	14	44	20	40	34
63	67	36	36	49	86	77	24	64	42	90	49	11	9	32	24	48	87	99	43	19	81	7	4	88	58	30	59	50	55	71	28	62	2	72	42	30	41	51	67	78	68	23	1	75	96	88	32	45	54
14	83	75	36	2	97	49	23	69	1	25	3	95	26	21	74	16	74	33	18	35	92	57	-1	60	-1	32	78	34	19	1	34	12	44	4	44	74	47	81	77	35	75	21	99	32	87	60	7	8	44
52	49	83	93	84	55	28	59	5	9	41	71	19	74	90	38	78	51	38	10	3	85	52	61	12	95	20	92	45	47	92	30	65	34	76	12	90	16	83	77	2	98	54	32	38	37	20	57	25	10
56	33	20	28	64	74	13	44	8	24	48	16	1	73	43	82	15	67	94	76	96	52	27	2	5	99	49	58	1	67	66	1	72	49	79	67	21	46	36	30	5	37	86	21	4	98	81	73	56	25
23	95	29	66	88	41	0	65	38	64	93	4	43	47	88	83	75	71	97	17	10	46	48	95	84	48	53	32	99	80	51	24	77	23	78	22	62	74	87	54	20	13	65	42	22	79	88	67	60	60
75	6	57	15	6	23	92	99	5	97	72	4	49	0	44	10	0	82	38	27	96	4	20	87	21	53	32	81	25	25	70	63	13	9	40	11	5	100	72	51	87	79	83	31	88	27	46	93	37	82
65	25	26	3	72	65	80	76	79	85	3	83	39	28	43	80	98	35	90	41	83	20	85	21	80	41	41	51	61	22	35	76	26	47	65	19	78	42	53	51	41	25	78	17	94	89	16	16	70	13
46	6	92	61	49	69	21	8	77	57	71	97	0	60	5	97	7	26	47	86	70	38	43	91	60	32	28	72	27	41	98	34	66	57	74	17	97	46	31	95	24	22	33	35	98	77	34	15	32	1
67	31	39	28	11	56	38	86	82	46	94	79	27	56	22	22	33	87	50	6	75	100	87	30	69	-1	18	69	30	47	34	8	95	59	40	35	83	83	69	37	57	5	39	91	75	37	17	78	84	40
93	78	63	73	4	94	12	79	71	54	79	1	12	69	56	47	88	0	88	100	23	87	0	67	16	67	8	24	43	4	10	65	32	62	84	12	26	50	88	63	69	52	13	72	39	50	53	19	14	38
100	23	75	49	57	54	64	45	55	72	52	39	55	80	47	81	44	38	34	79	57	11	3	94	57	62	82	20	86	9	5	53	96	49	46	92	72	35	50	2	0	45	80	64	41	54	23	27	70	100
66	6	-1	64	18	85	56	13	67	15	79	91	41	17	19	43	79	98	6	50	38	18	52	66	62	22	56	38	21	38	75	44	47	87	100	4	52	0	41	20	54	65	75	16	52	91	15	30	96	18
8	79	40	51	57	44	26	10	70	20	40	59	33	89	67	48	12	11	43	48	94	90	71	10	74	38	73	31	9	36	18	70	58	98	15	67	97	41	31	83	32	8	20	83	96	34	84	33	61	29
